comment_id,video_id,category,category_label,text,like_count,published_at,vader_compound,textblob_polarity,textblob_subjectivity,afinn_score,afinn_normalized,sent_neg_score,lex_tfidf_sum,lex_tfidf_max,lex_unique_terms,lex_top_terms,lex_sadness,lex_anxiety,lex_negative_emotion,lex_health,lex_hopelessness,lex_exhaustion,lex_numbness,lex_suicidal,self_disclosure_flag,self_disclosure_score,self_disclosure_reason,word_count,lexical_diversity,depression_signal_score
UgxukmXsLnW_tPbW2GR4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,This has always been such a huge problem with my family. Even a couple family members who are prescribed psych meds for their own issues often do not seem to understand what I experience,1080,2022-10-28T17:02:43Z,-0.1027,0.3333,0.8,-1.0,-0.0294,0.152,1.4022,0.793,2,meds;psych,0.0,0.0,0.0,1.4022,0.0,0.0,0.0,0.0,0,0.0,,34,0.9412,0.33039999999999997
UgxuPsnUpIofWbEXGFp4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"It just hits harder when u can’t continue your fake smile. You have people asking you “what’s wrong, why are you sad” and have to say “nothing, I’m happy. What makes you think about it?” while having the most sad, ungrateful face ever when answering.",381,2024-02-17T19:51:34Z,-0.7698,-0.0625,0.6875,-7.0,-0.1458,0.3777,1.0,1.0,1,sad,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,,48,0.8333,0.47553999999999996
UgxsBBvu1HYTvSPC1T14AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"&quot;I hate myself&quot;, this is the line I kept on telling myself every single time I remember sad things about my life (mistakes, disappointments, hurtful words from others).",7,2026-01-23T14:08:36Z,-0.9403,-0.4571,0.7048,-9.0,-0.3214,0.5918,1.6858,0.7465,3,hate myself;hate;sad,0.4415,0.0,1.2443,0.0,0.0,0.0,0.0,0.0,1,0.8,PRON-subj + sad,28,0.8929,0.81836
UgwRazOBqpxhqYupMK14AaABAg,Ii53BtHLnGk,mental_health,Mental Health,My whole body is aching. My chest hurts . I barely have energy to get out of bed. My room is a complete mess rn.,274,2023-07-22T10:21:46Z,-0.7893,0.0437,0.2687,-6.0,-0.25,0.3353,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,24,0.875,0.06706
Ugx9z3Jl0Qcjqg8P2b94AaABAg,Ii53BtHLnGk,mental_health,Mental Health,It’s so difficult to describe depression to someone who’s never been there because it’s not sadness. Psychedelic are the reason why I didn&#39;t take my life when I was at my end.i was stripped of my ego and saw the beauty of life and interconnectivity,235,2022-11-10T18:29:39Z,-0.0739,-0.5,1.0,2.0,0.0408,0.3068,1.3923,0.82,2,sadness;depression,1.3923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,,49,0.7347,0.46136
UgzoqzjsUCn66FhupcF4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"Depression has always felt like drowning to me. Surrounded by nothing but vast ocean waves and every day you force your head back above water before your lungs fill with water. Some days, the waves pull you down and even bobbing your head back out of the water for even a breath is nearly impossible. The years go by and I continually feel weaker and want to fight for a breath less and less. Sometimes, the thought to just let myself slip below the waves one last time and sink into the dark waters below is so very tempting. I&#39;m so very tired.",246,2022-12-19T07:46:23Z,-0.9202,-0.1355,0.3499,-1.0,-0.0097,0.3544,1.4076,0.7722,2,tired;depression,0.6354,0.0,0.0,0.0,0.0,0.7722,0.0,0.0,1,1.0,PRON-subj + tired,103,0.699,0.87088
UgxrhNLjgXUsMGYCXgx4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,The best way I can describe it is everyone telling you that there’s a light at the end of the tunnel when the tunnel is collapsing in on itself,15,2025-08-20T16:11:35Z,0.4588,0.7,0.5,1.0,0.0333,0.0714,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,30,0.8333,0.014280000000000001
Ugw68dAUh9nlX-S_-x14AaABAg,Ii53BtHLnGk,mental_health,Mental Health,To the person reading this: you are a warrior and u are an amazing person so keep on going ❤<br>Édit: Tysm for thé replies.this made my day,393,2022-10-28T17:01:11Z,0.5859,0.6,0.9,4.0,0.1379,0.1286,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,29,0.8966,0.02572
UgxvLG5UER1NdwzxVRN4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I can never have a positive or negative thought without immediately finding reasons to argue against it. For example,  I can’t even feel bad for myself because “there are people who have it worse, so why should I complain?” I used to be an A student, and lately I’ve been caring less and less, to the point of failing multiple classes, and it’s hard to bring myself to care. Even now as I’m typing I’m trying to stop myself from explaining why I’m just being stupid and should delete this. It’s extremely exhausting, but I’m glad these videos exist to help give reasons why.",282,2022-12-04T01:27:17Z,-0.3835,-0.2331,0.4989,-5.0,-0.0446,0.2602,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,112,0.6786,0.05204
UgzE9TPLvK-I0YIs7Vx4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,it’s like you’re always tired and then u don’t wanna talk to anyone. &lt;3 to anyone else struggling.,63,2022-10-28T17:01:16Z,-0.0772,0.3,0.85,-2.0,-0.1,0.1721,1.0,1.0,1,tired,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.2,,20,0.9,0.43442000000000003
UgxnZgZtlxoyVFtnF8F4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"<a href=""https://www.youtube.com/watch?v=Ii53BtHLnGk&amp;t=122"">2:02</a> .... this one hits me so hard... seeing all the artists and musicians in the community of my favorite game, hearing their music, seeing their art. It just fills me with dread, I can&#39;t stand even thinking about those people because I could never be as good and talented as any of them. I suck at making music of my own, and my art is all terrible, right down to the way I make the art. Trying to break free from comparing myself to them feels nearly impossible, and idk where to go to stop myself from comparing...",25,2025-04-08T03:09:53Z,-0.6454,0.0611,0.7333,-7.0,-0.0707,0.3094,1.4114,0.7506,2,dread;terrible,0.0,0.7506,0.6608,0.0,0.0,0.0,0.0,0.0,1,0.8,PRON-subj + dread,99,0.7071,0.76188
Ugzm_Q21ELDD1XONpm94AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I&#39;ve been experiencing depression for more than five years before I ever knew what it actually was. It seemed to get worse when I discovered it. At this point, I&#39;m just trying to heal myself bit by bit, although it&#39;d probably take a million bits for me get better one day.",143,2022-10-28T17:09:44Z,-0.5994,0.15,0.425,-1.0,-0.0196,0.2376,1.0,1.0,1,depression,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8,PRON-subj + depression,51,0.8627,0.74752
UgwYX9CJr_pWSm37fxB4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"Kind of my story: <br><br>      I&#39;m not diagnosed, but everything about this video is on point with me. And I&#39;ve felt literally all of the symptoms. I feel worthless sometimes, and I don&#39;t enjoy doing the things I used to be so passionate about anymore. I&#39;ve lost a lot of friends because of me shutting myself out of the world. I made myself lose my spark. Everything is in black and white to me. I used to be more than what I am. I used to be that one person who would make everything seem colorful. But, now I just feel like a burden to anyone I interact with. I dont try enough anymore and I don&#39;t feel like I can. (I&#39;ll finish later)",129,2023-01-27T18:21:21Z,-0.5435,0.0783,0.4983,2.0,0.016,0.2265,1.9702,0.612,4,feel worthless;worthless;diagnosed;lost,0.0,0.0,0.0,0.4709,1.4993,0.0,0.0,0.0,1,1.0,PRON-subj + worthless,125,0.632,0.8452999999999999
UgwOCYgJWxuVCvcy-cN4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"This is my story: Growing up, I was actually raised in a very loving and supportive home. I always got good grades in school. I excelled in the things I did (such as tae kwon do and bowling). At some point, I began building up these expectations of being the best daughter, the best student, the best everything. I felt as if maybe that&#39;s what others expected of me, too. Sometime during elementary school, I started to develop more of an understanding of what was happening around me. I&#39;ve always been a shy person, and I felt like I never truly &quot;clicked&quot; with any of the kids at school. The only times I felt that (pre-college) were in elementary school for a few years with a small group of guys (I was the only girl, but my tomboyish personality allowed me to fit in) and in high school with a small group of girls (not the stereotypical &quot;popular girls&quot;, so felt I somewhat fit in there for a year or two). Going back though to what I was getting at, I wasn&#39;t a social butterfly like a lot of the other kids. I eventually started feeling like I didn&#39;t truly fit in. That everybody saw me as the weird girl who liked video games and anime. That nobody actually liked me for me. Halfway into middle school, I got into my first relationship. The relationship wasn&#39;t bad or anything, I just lost feelings over the last month of it and had to end it. Shortly afterwards, I started playing an online game and made many online friends. Started online dating and ended up in lots of bad relationships since I was still a young middle/high schooler who didn&#39;t know better. This is when the depression started hitting hard alongside anxiety. I remember making so many mistakes in those relationships and always blaming myself for them ending the way they did (instead of the reality which was that I got manipulated into doing wrong things that I was told were right by older guys). This led to getting very dark thoughts from time to time. Although I hadn&#39;t made any attempts until high school (which even then wasn&#39;t anything that put me in a hospital), it was still something that carried on into my current life.<br>Even though I&#39;m going to counseling, I still feel the anxiety and depression a lot of the time, and sometimes it hits very hard. It&#39;s that feeling of &quot;I don&#39;t want to do anything&quot;, &quot;I can&#39;t do anything&quot;. It&#39;s the feeling of not wanting to get out of bed. To go back to sleep, even when you know you have to get up. That lack of motivation, that empty-but-not-empty feeling. You feel sadness, but you also feel nothing. You want to be happy, but you also feel like you don&#39;t deserve happiness. You look down on yourself from the moment you wake up to the moment you sleep. You convince yourself that you aren&#39;t good enough, that nobody wants you. You don&#39;t want to eat, even if there is food in front of you. You want to go to bed early, but the negative thoughts fill your head until you cry instead.<br>Throughout the later parts of my life, I&#39;ve encountered friends. True friends, I mean. Friends who are there for me during these rough times. Yet sometimes, I can&#39;t bring myself to speak up. I value them so much that I don&#39;t want to bring them down with me. I&#39;m slowly getting better though. The family and friends we have are very precious to us, and I know that we would want them to talk to us, too, if they ever felt depressed or anxious because we wouldn&#39;t want them to suffer alone.<br>So yeah. I know it isn&#39;t a deep and traumatizing story, but hopefully it still reaches out to someone out there.",228,2022-10-28T18:47:28Z,0.7616,0.1271,0.5015,27.0,0.041,0.0716,3.4457,0.4633,13,empty;anxiety;depression;feel nothing;counseling;anxious;suffer;sadness,1.149,0.6046,0.2424,0.4886,0.1834,0.0,0.7776,0.0,1,1.0,PRON-subj + lose,658,0.4316,0.8143199999999999
Ugy99h81rWOYMhFrKSV4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I think it’s important to recognize that depression isn’t always necessarily constant. Sometimes you have good days or good moments though out the day and then something can trigger you or just for no reason, everything crumbles and you realize that you’re stuck in this state of meaninglessness. <br><br>I used to believe I couldn’t have depression because I was happy sometimes, and if I was happy, then I couldn’t be depressed, but that’s simply not the case. You can have depression in waves and not something linear. That’s valid too, and you still deserve help if you’re not constantly feeling down, because those down moments are still intense and worthy of recognition.",10,2025-11-30T17:34:37Z,0.3171,0.3019,0.6501,17.0,0.1393,0.0929,1.5868,0.8547,3,depression;stuck;depressed,1.1938,0.0,0.0,0.0,0.393,0.0,0.0,0.0,1,1.0,PRON-subj + depression,122,0.5984,0.81858
Ugz061Hof50M6CazRTN4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I wanted to share a poem I had written about my depression, it is kind of long but I hope you enjoy it as much as possible. Also I am currently feeling much happier so there&#39;s no need to worry. If you read the whole thing congratulations, you survived my struggle. <br>What is depression really, I guess it&#39;s wanting to stay in bed because no matter how much you try to at night you can&#39;t sleep, it&#39;s feeling exhausted mentally and emotionally, you&#39;re completely drained from doing nothing but having a conversation, it&#39;s feeling sad for absolutely no reason, you get easily frustrated and are constantly wanting to give up even with the simplest things, you&#39;re always too tired to keep trying and might just let yourself fail, you could feel done with life even if you just had the best day, your energy is spent so quickly, sometimes you may not be sure what to do with yourself because you&#39;re constantly bored, with this boredom you might be looking for something new to keep you happy but nothing works, it sometimes makes you feel like everything you do is a waste of time, it makes you feel worthless, like you shouldn&#39;t exist, like you should have never been born, it&#39;s like if you didn&#39;t wake up in the morning everything would be fine and maybe better, it messes with your thoughts and turns them all dark, it can make you want to cry but it won&#39;t let you, it wants you to stay closed up and have you keep everything inside even though it knows you can&#39;t, it&#39;s going to make you explode and keep to yourself, doess it end, does it ever end, does it ever go away, will it ever leave me alone, I don&#39;t mind time to myself but it makes me feel lonely even when others are around, I hate it and wish it didn&#39;t exist, just go away, I can&#39;t stand the constant headaches, the reminders of my past, it all hurts and I&#39;m sick of it, go away and take those nightmares with you, they don&#39;t help, you don&#39;t help, I&#39;ve wanted to give up but I can&#39;t allow it, I won&#39;t let you win, I can&#39;t because as much as I&#39;d like to it wouldn&#39;t be any better, I don&#39;t know what will happen next in my life but I know I can expect pain, as to what happens after my life I can&#39;t say I know and that scares me, I&#39;d rather expect pain than a mystery",160,2022-10-29T17:13:26Z,-0.9937,0.0196,0.4873,7.0,0.0164,0.3535,4.2302,0.3608,19,give up;pain;depression;can't sleep;feel lonely;feel worthless;frustrated;drained,1.2306,0.1882,0.7282,0.1769,0.8316,1.0747,0.0,0.0,1,1.0,PRON-subj + depression,427,0.4871,0.8707
UgxETzSTpDL9P6WG_Nh4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,it hurts when people around you say that you will never become anything because you have condition,20,2023-11-26T20:31:36Z,-0.4767,0.0,0.0,-2.0,-0.1176,0.1698,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,17,0.8824,0.033960000000000004
Ugwj-JbtJYqi2F0SeaB4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I&#39;m currently going to the doctors in an hour to finally talk about how I&#39;ve been feeling , I&#39;m hoping all goes well and they will actually take me srs! This will help me communicate how I feel, so thank you :)",84,2022-10-28T17:03:08Z,0.9312,0.125,0.625,7.0,0.175,0.0893,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,40,0.875,0.01786
UgwcboVOzgg7jrG7zwt4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,In my experience it&#39;s like in every happy moment with your friends every time you laugh you still feel sad inside. Like your person is happy but your soul is sad.,15,2024-03-13T09:55:21Z,0.5187,0.18,0.82,7.0,0.2258,0.1171,1.4065,0.7772,2,sad;feel sad,1.4065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,,31,0.7097,0.42342
UgwmEoegPqlobLcqKch4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"My story is fairly simple. I was bullied a lot in my younger years by both classmates and parents, and with time I developed depression, as well as social anxiety. The path out of this is never easy, but after years of hopelessness, I can finally find some joy in life! I know it&#39;s cliché to say that &quot;things will get better&quot;, but they really do! I still feel like shit a lot, but I know those feelings are just temporary and that I&#39;m stronger than that. Just having a positive outlook on life helps, even if forced.",99,2023-02-14T23:42:54Z,0.6839,0.1162,0.4169,3.0,0.0306,0.0596,1.6594,0.7863,3,hopelessness;anxiety;depression,0.4201,0.453,0.0,0.0,0.7863,0.0,0.0,0.0,1,1.0,PRON-subj + depression,98,0.7653,0.81192
UgyhquOvg8lNmJjCslt4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I can&#39;t believe I&#39;m still depressed, this  explanation is very realatible..<br><br>And for everyone out there:<br><br>Life is a gift, and you are amazing just the way you are! Let nothing pull you down. There is always someone that will love you in the right way!<br><br>I wish y&#39;all the best!<br><br><br>Sorry if it&#39;s a mess, I can&#39;t think straight since I have a lot in my mind lately",56,2022-10-28T17:33:39Z,0.8406,0.1631,0.475,9.0,0.1154,0.0679,1.0,1.0,1,depressed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8,PRON-subj + depressed,78,0.6667,0.71358
UgzAcDrKjyT2eFS7IYV4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,I suffer from Depression and I can relate to all of these.,58,2022-10-28T17:02:42Z,-0.802,0.0,0.0,-2.0,-0.1667,0.2768,1.3915,0.822,2,suffer;depression,0.5695,0.0,0.822,0.0,0.0,0.0,0.0,0.0,0,0.0,,12,0.9167,0.35536
Ugyq9WCYrJWJlbzgj1F4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"The weird thing about depression is sometimes it feels really comfortable for being depressed, it&#39;s like depression itself becoming addiction or coping mechanism.",75,2024-03-10T05:08:18Z,-0.7436,0.1167,0.8833,0.0,0.0,0.3386,1.3707,0.8594,2,depression;depressed,1.3707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,,23,0.9565,0.46772
UgzDFXGewkMZUYgiqpR4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"As a person who has had depression for 3 years due to heartbreak, I can really relate to these symptoms. I don&#39;t sleep much, and I&#39;m always in a state of mind where I feel like I might burst into tears and embarrass myself in front of everybody. I eat way too much when I&#39;m alone and the migraines are almost endless. Most of my days are spent using up valuable energy putting on a fake smile while my so-called &quot;friends&quot; say I&#39;m annoying and worthless. Every night I wish I could just go back to the time before all this, before I lost the love of my life.. Before I became one of the hated people in this cruel world. To all who are clinically depressed like me, I wish you a better life. Merry Christmas.",68,2023-12-08T03:39:07Z,-0.6908,-0.1219,0.5016,-8.0,-0.0584,0.3205,2.791,0.4396,8,hated;worthless;spent;tears;depressed;lost;alone;depression,1.2339,0.0,0.4396,0.0,0.7239,0.3936,0.0,0.0,1,1.0,PRON-subj + tear,137,0.6934,0.8641
UgyyX1-E99X-0l5gQS94AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I can relate to this, waking up tired and not wanting to go to school because I don&#39;t have friends there and I have no to talk to, I had struggles with my family too, I never felt I wanted to help or do something because of how stupid I am to help, I don&#39;t know what I did to lose friends but I&#39;ve been trying to be a better friend but when it comes to making conversations I couldn&#39;t catch up or just think about what am I going to say, I&#39;ve been trying to do everything for my friends and Family but It was hard to be a better person and become the best son, brother, even friend, I&#39;ve been losing friends and others and I just feel like bad person",108,2022-12-03T22:04:16Z,0.9736,-0.0274,0.6012,1.0,0.0075,0.0937,1.0,1.0,1,tired,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,PRON-subj + struggle,133,0.5789,0.81874
Ugx_GNps-GoP2W1-mXp4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"I am trash and I want to disappear, but I don&#39;t want to make my mom sad.",719,2022-10-28T17:24:10Z,-0.6987,-0.5,1.0,-1.0,-0.0588,0.5021,1.0,1.0,1,sad,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8,PRON-subj + sad,17,0.7647,0.80042
UgyB-Hwre6DQ6QwvPRF4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"Here’s how I escaped depression. I was once depressed, I felt all of these feelings and felt as if life were a punishment. I viewed the world as a failure of existence and wanted nothing to do with it. I hated every second I was awake and didn’t desire to live. I wanted to end it so bad. Life was without joy or purpose and was filled with sadness and hate. I never confided in anyone and had everyone thinking I was alright. But somehow, I managed to slowly gain momentum by looking into myself and logically assessing myself and what I was going through. Turns out just going to the gym and pretending to be happy wasn’t cutting it, so I gave myself the hope I needed. I put effort, despite how incredibly hard it was, into myself. I improved my looks and a lot of my skills and ended up slowly gaining confidence. This kindled hope in my heart and gave me a little bit of self worth. From there, I stoked the flames and eventually found joy and good and reason to live in life. Now, instead of casting the world aside, I see the good in it and try my best to save it from all the bad things, because as much as it might seem to be a lost cause, it’s not. So my advice to all of you who are trying to escape depression is to improve yourself, your confidence, and find hope, and hold on tight to it, as hard as it might be. You got this 🤙",13,2024-08-12T03:25:28Z,0.9955,0.0263,0.4861,17.0,0.0634,0.0694,2.3958,0.5609,6,depression;hated;sadness;hate;depressed;lost,1.2966,0.0,0.7928,0.0,0.3064,0.0,0.0,0.0,1,1.0,PRON-subj + depression,268,0.5448,0.8138799999999999
UgzykgQacufu7GLtOzV4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,"After reading a few comments, I have decided to share a piece of my story. Since I was about 5-7 years old, I&#39;ve always been a defensive person. Whether it be me defending myself or those I cared about. I developed this trait in pre-K when I was getting bullied, and my parents decided to do nothing about it. Looking back, pretty much seems like I&#39;ve always been bullied. One day when I was in young 5&#39;s and I had gotten in trouble for something that I had no involvement with, I lashed out on a supervisor that was walking me to my class. Mainly because they kept prodding me and I couldn&#39;t give them an answer. As I got older and went into elementary, I started hating my parents more because they never did anything for me in these situations. I&#39;ve never had any friends that were girls when I was a kid because I never really got along with them. More or less, annoyed. I started being friends with the boys because I thought they were so cool and more &quot;reasonable.&quot; Am I a boy myself? No, I&#39;m still a female, but it just made the girls at school hate me more. I never really liked any of their crushes, I had my own. Some were in school, a few were from a different school. My mom used to work 2 jobs, one was at a pizza place and the other was at an antique shop. I usually went with my mom to work after school or on the weekends and helped out a little or watch over the owner&#39;s son at the shop. Even though he was a year older than me. And at this time, we were both still kids, I was 7 and he was 8. There would be times where we would get into a fight physically and one of us would be left bruised. One day, he coaxed me into a s3x@ul favor for him and it didn&#39;t end well since we both got into a fight, and I ran out crying and starting to have panic attacks. I think this was the point where I started maladaptive daydreaming considering I started to think the multiple scenarios and get so wrapped up that I wouldn&#39;t notice how much time had passed. I told my mother about this after we left, and she didn&#39;t believe me. Just told me that I didn&#39;t even know exactly and to not worry about it. After that I started to keep things to myself, get more agitated with every passing year. At some point I told her that I think I need help, that I was depressed. She asked me &quot;how do you know?&quot; I told her that I felt sad all of the time, that I became angry at a lot of people and didn&#39;t feel like doing anything ever. Keep in mind that I told her this when I was 8 years old. 8, and didn&#39;t even know what depression was yet. She just told me that I was fine, and I didn&#39;t need help. So, I decided to never bring it up again. That&#39;s just part of the reason of my depression, I just started with the earliest sign when I tried to stop it. Presently, I wish I was adopted or been born into a different family where I wouldn&#39;t have to deal with the amount of bs I have to put up with just because. If this gets too long, my condolences.",93,2023-02-11T19:25:00Z,-0.9959,0.0432,0.4087,-18.0,-0.0307,0.3517,2.934,0.47,9,depression;annoyed;angry;worry;hate;depressed;panic;crying,1.2724,0.5891,1.0725,0.0,0.0,0.0,0.0,0.0,1,1.0,PRON-subj + cry,586,0.4249,0.87034
UgwTBMFrKtLbLjh7Cxt4AaABAg,Ii53BtHLnGk,mental_health,Mental Health,I pray to whomever is going through depression,13,2022-10-28T17:01:18Z,-0.34,0.0,0.0,1.0,0.125,0.0971,1.0,1.0,1,depression,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,8,1.0,0.31942
